L1NONE,L1FOAM,,L2NONE,L2FOAM,,L3NONE,L3FOAM,,,L1,t-Test: Two-Sample Assuming Unequal Variances,,,,,,L2,t-Test: Two-Sample Assuming Unequal Variances,,,,,,L3,t-Test: Two-Sample Assuming Unequal Variances,,
85.03,84.88,,84.50297232,60.79633401,,79.75575401,75.37126189,,,,,,,,,,,,,,,,,,,,
87.41,87.70,,84.31815919,69.45468585,,71.30976692,75.37126189,,,,,Variable 1,Variable 2,,,,,,Variable 1,Variable 2,,,,,,Variable 1,Variable 2
86.34,85.09,,83.33006206,67.49059618,,77.37202585,75.26597709,,,,Mean,86.26159398,85.86202791,,,,,Mean,83.22073911,66.65331138,,,,,Mean,76.28114458,75.09338387
87.66,86.98,,82.74573464,69.13880051,,77.28850704,75.62902234,,,,Variance,1.686333693,1.904615561,,,,,Variance,1.785528961,12.27549132,,,,,Variance,9.838520103,0.517198593
84.86,84.67,,81.20676735,66.38614036,,75.67966907,73.82939614,,,,Observations,5,5,,,,,Observations,5,5,,,,,Observations,5,5
,,,,,,,,,,,Hypothesized Mean Difference,0,,,,,,Hypothesized Mean Difference,12.25,,,,,,Hypothesized Mean Difference,0,
,,,,,,,,,,,df,8,,,,,,df,5,,,,,,df,4,
,,,,,,,,,,,t Stat,0.47148618,,,,,,t Stat,2.574551962,,,,,,t Stat,0.825322783,
,,,,,,,,,,,P(T<=t) one-tail,0.324942161,,,,,,P(T<=t) one-tail,0.024879872,,,,,,P(T<=t) one-tail,0.227782743,
,,,,,,,,,,,t Critical one-tail,1.859548038,,,,,,t Critical one-tail,2.015048373,,,,,,t Critical one-tail,2.131846786,
,,,,,,,,,,,P(T<=t) two-tail,0.649884322,,,,,,P(T<=t) two-tail,0.049759745,,,,,,P(T<=t) two-tail,0.455565486,
,,,,,,,,,,,t Critical two-tail,2.306004135,,,,,,t Critical two-tail,2.570581836,,,,,,t Critical two-tail,2.776445105,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,16.56742773,,,,,,,,
