t=,2.776,,Resting SP=,2.505,,Pref=,2.00E-05,,,,NONE,,,,,,,,FOAM,,,,,,,,,,,,,,,,,,
Initial Heights(mm),,,,,Cup Length (mm),,,,,L1,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,L1,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,,,,,,,,,,,,
368.3,Mean,STD,uncertainty,,134.93,Mean,STD,uncertainty,,,3.01,320.29,47.46,0.505,85.03,Average Critical Sound Level,,,3.001,333.32,34.43,0.496,84.88,Average Critical Sound Level,,,,,,,Material,Mean Sound Pressure,STD,uncertainty,Mean Distance,,
369.82,367.75,1.849891889,2.296575925,,134.8,135.064,0.282807355,0.351095416,,,3.169,331.79,35.96,0.664,87.41,86.26,,,3.191,322.26,45.49,0.686,87.70,85.86,,,,,,,L1NONE,86.26,1.298589116,1.612152861,41.786,,
368.8,,,,,135.53,,,,,,3.092,331.72,36.03,0.587,86.34,,,,3.013,327.03,40.72,0.508,85.09,,,,,,,,L1FOAM,85.86,1.3800781,1.713318577,41.054,,
365.12,,,,,134.95,,,,,,3.188,325.44,42.31,0.683,87.66,,,,3.137,328.61,39.14,0.632,86.98,,,,,,,,L2NONE,83.22,1.336236866,1.658891222,34.18,,
366.71,,,,,135.11,,,,,,3,320.58,47.17,0.495,84.86,,,,2.989,322.26,45.49,0.484,84.67,,,,,,,,L2FOAM,66.65,3.503639725,4.349645884,47.056,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3NONE,76.28,3.136641532,3.894030495,24.51,,
,,,,,Cup Length2 (mm),,,,,L2,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,L2,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,,,,,,L3FOAM,75.09,0.719165205,0.892818389,22.322,,
,,,,,88.9,Mean,STD,uncertainty,,,2.98,322.35,45.4,0.475,84.50,Average Critical Sound Level,,,2.536,320.67,47.08,0.031,60.80,Average Critical Sound Level,,,,,,,,,,,,,
,,,,,92.08,89.242,2.046013196,2.540053652,,,2.97,333.47,34.28,0.465,84.32,83.22,,,2.59,323.85,43.9,0.084,69.45,66.65,,,,,,,,,,,,,
,,,,,87.31,,,,,,2.92,336.55,31.2,0.415,83.33,,,,2.572,320.72,47.03,0.067,67.49,,,,,,,,,,,,,,80.09218867
,,,,,90.49,,,,,,2.893,332.58,35.17,0.388,82.75,,,,2.586,327.08,40.67,0.081,69.14,,,,,,,,,,,,,,
,,,,,87.43,,,,,,2.83,342.9,24.85,0.325,81.21,,,,2.564,311.15,56.6,0.059,66.39,,,,,,,,,,,,,,66.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cup Length3 (mm),,,,,L3,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,L3,Max Sound Pressure (Pa),Measurement(mm),Displacement (mm),Actual Sound Pressure (Pa),Sound Level (dB),,,,,,,,,,,,,,
,,,,,48.21,Mean,STD,uncertainty,,,2.78,344.49,23.26,0.275,79.76,Average Critical Sound Level,,,2.671,349.25,18.5,0.166,75.37,Average Critical Sound Level,,,,,,,,,,,,,
,,,,,47.63,47.096,0.985180187,1.223066662,,,2.609,342.9,24.85,0.104,71.31,76.28,,,2.671,347.66,20.09,0.166,75.37,75.09,,,,,,,,,,,,,
,,,,,46.04,,,,,,2.714,338.14,29.61,0.209,77.37,,,,2.669,344.49,23.26,0.164,75.27,,,,,,,,,,,,,,
,,,,,47.53,,,,,,2.712,346.08,21.67,0.207,77.29,,,,2.676,344.43,23.32,0.171,75.63,,,,,,,,,,,,,,
,,,,,46.07,,,,,,2.677,344.59,23.16,0.172,75.68,,,,2.644,341.31,26.44,0.139,73.83,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cup Radius(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,88.77,Mean,STD,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,88.39,89.118,0.641537216,0.796445963,,,,,,,,,,,,,,,23.7,,,,,,,,,,,,,,
,,,,,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,89.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cup Radius2 (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77.78,Mean,STD,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,76.99,76.194,2.022938457,2.511407172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cup Radius3 (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
